Time,Ground Truth,Estimation
2020-04-25 10:38:20,69,128
2020-04-25 10:38:30,70,93
2020-04-25 10:38:40,70,83
2020-04-25 10:38:50,68,80
2020-04-25 10:39:00,64,88
2020-04-25 10:39:10,60,91
2020-04-25 10:39:20,57,91
2020-04-25 10:39:30,63,112
2020-04-25 10:39:40,65,125
2020-04-25 10:39:50,68,125
2020-04-25 10:40:00,64,67
2020-04-25 10:40:10,64,59
2020-04-25 10:40:20,65,85
2020-04-25 10:40:30,71,85
2020-04-25 10:40:40,64,67
2020-04-25 10:40:50,56,56
2020-04-25 10:41:00,55,59
2020-04-25 10:41:10,63,56
2020-04-25 10:41:20,69,56
2020-04-25 10:41:30,66,53
2020-04-25 10:41:40,56,77
2020-04-25 10:41:50,58,120
2020-04-25 10:42:00,57,84
2020-04-25 10:42:10,61,59
2020-04-25 10:42:20,69,61
2020-04-25 10:42:30,73,112
2020-04-25 10:42:40,73,109
2020-04-25 10:42:50,65,123
2020-04-25 10:43:00,62,67
2020-04-25 10:43:10,60,60
2020-04-25 10:43:20,66,65
2020-04-25 10:43:30,60,56
2020-04-25 10:43:40,56,51
2020-04-25 10:43:50,54,61
2020-04-25 10:44:00,57,67
2020-04-25 10:44:10,68,64
2020-04-25 10:44:20,64,64
2020-04-25 10:44:30,69,93
2020-04-25 10:44:40,69,117
2020-04-25 10:44:50,68,93
2020-04-25 10:45:00,72,101
2020-04-25 10:45:10,63,91
2020-04-25 10:45:20,65,61
2020-04-25 10:45:30,65,53
2020-04-25 10:45:40,60,101
2020-04-25 10:45:50,60,109
2020-04-25 10:46:00,66,101
2020-04-25 10:46:10,65,91
2020-04-25 10:46:20,63,64
2020-04-25 10:46:30,63,75
2020-04-25 10:46:40,64,109
2020-04-25 10:46:50,65,117
2020-04-25 10:47:00,65,93
2020-04-25 10:47:10,65,53
2020-04-25 10:47:20,67,64
2020-04-25 10:47:30,59,53
2020-04-25 10:47:40,56,85
2020-04-25 10:47:50,51,83
2020-04-25 10:48:00,52,107
2020-04-25 10:48:10,57,96
2020-04-25 10:48:20,64,112
2020-04-25 10:48:30,66,72
2020-04-25 10:48:40,68,72
2020-04-25 10:48:50,71,67
2020-04-25 10:49:00,73,53
2020-04-25 10:49:10,71,61
2020-04-25 10:49:20,68,85
2020-04-25 10:49:30,64,112
2020-04-25 10:49:40,62,109
2020-04-25 10:49:50,60,117
2020-04-25 10:50:00,67,117
2020-04-25 10:50:10,71,123
2020-04-25 10:50:20,75,117
2020-04-25 10:50:30,67,117
2020-04-25 10:50:40,64,109
2020-04-25 10:50:50,55,61
2020-04-25 10:51:00,70,123
2020-04-25 10:51:10,71,115
2020-04-25 10:51:20,75,115
2020-04-25 10:51:30,66,109
2020-04-25 10:51:40,66,115
2020-04-25 10:51:50,73,141
2020-04-25 10:52:00,69,141
2020-04-25 10:52:10,68,109
2020-04-25 10:52:20,66,109
2020-04-25 10:52:30,66,117
2020-04-25 10:52:40,58,123
2020-04-25 10:52:50,57,61
2020-04-25 10:53:00,58,67
2020-04-25 10:53:10,65,93
2020-04-25 10:53:20,65,101
2020-04-25 10:53:30,63,85
2020-04-25 10:53:40,64,56
